run_id,input_path,ecc_profile,peptide_length,index_aa_length,loss_prob,mutation_prob,insertion_prob,shuffle_prob,shuffle_passes,original_size_bytes,encoded_size_bytes,decoded_size_bytes,size_delta_bytes,success,byte_errors,bit_errors,bit_error_rate,failure_mode,data_units,parity_units,tx_units,tx_residues_total,payload_bits_capacity,payload_bits_useful,encode_time_s,decode_time_s,total_time_s,score_mean,score_p10,score_p90,base_error_mean,base_error_p10,base_error_p90,encoder
0,resources/test/data_test/size_00_1B.txt,rs32,18,0,0.008904345454545456,0.004452172727272728,0.004452172727272728,0.004452172727272728,1,1,223,1,0,True,0,0,0.0,success,1,32,33,594,36,8,0.0008144159946823493,0.002261139001348056,0.003075554996030405,0.5547827272727273,0.47472799999999993,0.602502,0.008904345454545456,0.007949959999999999,0.010505440000000001,yin_yang
0,resources/test/data_test/size_01_2B.txt,rs32,18,0,0.008107236363636364,0.004053618181818182,0.004053618181818182,0.004053618181818182,1,2,223,2,0,True,0,0,0.0,success,1,32,33,594,36,16,0.0004044290035380982,0.0019692419955390505,0.0023736709990771487,0.5946381818181817,0.47478000000000004,0.699612,0.008107236363636364,0.006007760000000001,0.010504399999999999,yin_yang
0,resources/test/data_test/size_02_4B.txt,rs32,18,0,0.007008284848484849,0.0035041424242424246,0.0035041424242424246,0.0035041424242424246,1,4,223,4,0,True,0,0,0.0,success,1,32,33,594,36,32,0.0004424400030984543,0.002869068004656583,0.0033115080077550374,0.6495857575757575,0.51076,0.765472,0.007008284848484849,0.00469056,0.0097848,yin_yang
0,resources/test/data_test/size_03_8B.txt,rs32,18,0,0.006502211764705883,0.0032511058823529414,0.0032511058823529414,0.0032511058823529414,1,8,230,8,0,True,0,0,0.0,success,2,32,34,612,72,64,0.0005475560028571635,0.003290778993687127,0.0038383349965442903,0.6748894117647058,0.508989,0.862563,0.006502211764705883,0.0027487400000000004,0.00982022,yin_yang
0,resources/test/data_test/size_04_16B.txt,rs32,18,0,0.0066239777777777785,0.0033119888888888892,0.0033119888888888892,0.0033119888888888892,1,16,243,16,0,True,0,0,0.0,success,4,32,36,648,144,128,0.0007444750008289702,0.002461363998008892,0.003205838998837862,0.6688011111111112,0.5658650000000001,0.840605,0.0066239777777777785,0.0031878999999999987,0.0086827,yin_yang
0,resources/test/data_test/size_05_32B.txt,rs32,18,0,0.005913845,0.0029569225,0.0029569225,0.0029569225,1,32,270,32,0,True,0,0,0.0,success,8,32,40,720,288,256,0.000727943996025715,0.002683430000615772,0.003411373996641487,0.70430775,0.522869,0.8824500000000001,0.005913845,0.002351,0.00954262,yin_yang
0,resources/test/data_test/size_06_64B.txt,rs32,18,0,0.005927289361702128,0.002963644680851064,0.002963644680851064,0.002963644680851064,1,64,318,64,0,True,0,0,0.0,success,15,32,47,846,540,512,0.00118401999498019,0.005623502001981251,0.006807521996961441,0.7036355319148936,0.47829999999999995,0.888938,0.005927289361702128,0.0022212399999999993,0.010434,yin_yang
0,resources/test/data_test/size_07_128B.txt,rs32,18,0,0.005429389247311828,0.002714694623655914,0.002714694623655914,0.002714694623655914,1,128,628,128,0,True,0,0,0.0,success,29,64,93,1674,1044,1024,0.0034754750013235025,0.008833177998894826,0.012308653000218328,0.7285305376344086,0.541044,0.902002,0.005429389247311828,0.0019599600000000006,0.009179119999999999,yin_yang
0,resources/test/data_test/size_08_256B.txt,rs32,18,0,0.005182048366013072,0.002591024183006536,0.002591024183006536,0.002591024183006536,1,256,1033,256,0,True,0,0,0.0,success,57,96,153,2754,2052,2048,0.006597898005566094,0.013082072000543121,0.019679970006109215,0.7408975816993464,0.545892,0.8861880000000001,0.005182048366013072,0.0022762399999999997,0.00908216,yin_yang
0,resources/test/data_test/size_09_512B.txt,rs32,18,0,0.00500831897810219,0.002504159489051095,0.002504159489051095,0.002504159489051095,1,512,1850,512,0,True,0,0,0.0,success,114,160,274,4932,4104,4096,0.01273250699887285,0.026248373003909364,0.038980880002782214,0.7495840510948906,0.56889,0.88951,0.00500831897810219,0.0022097999999999996,0.0086222,yin_yang
